ID,Nome,Grupo,Ácidos gordos saturados,Ácidos gordos monoinsaturados,Ácidos gordos polinsaturados,Ácido linoleico,Hidratos de carbono,Sal,Fibra alimentar,Proteína,Álcool,Água,Ácidos orgânicos,Colesterol,Vitamina A total,Caroteno,Vitamina D,a-tocoferol,Tiamina,Riboflavina,Equivalentes de niacina,Niacina,Vitamina B6,Vitamina B12,Vitamina C,Folatos,Cinza,Sódio,Potássio,Cálcio,Fósforo,Magnésio,Ferro,Zinco
307,Peito de frango sem pele estufado com margarina,Carne e Derivados Criação e Caça,1.2 g,0.8 g,0.8 g,0.721 g,1.7 g,1100 mg,0.7 g,21.4 g,0 g,71 g,0.2 g,61 mg,43 µg,183 µg,0.1 µg,0.53 mg,0.1 mg,0.13 mg,14.3 mg,6 mg,0.33 mg,0.16 µg,7 mg,13 µg,2.05 g,440 mg,280 mg,15 mg,150 mg,27 mg,0.7 mg,0.8 mg
308,Peito de frango sem pele estufado sem molho,Carne e Derivados Criação e Caça,0.7 g,0.8 g,0.4 g,0.4 g,0 g,620 mg,0 g,36.6 g,0 g,59.3 g,0 g,92 mg,0 µg,0 µg,0.2 µg,0.1 mg,0.11 mg,0.2 mg,16 mg,9.5 mg,0.36 mg,0.27 µg,0 mg,13 µg,1.56 g,250 mg,320 mg,7 mg,230 mg,31 mg,0.8 mg,1.2 mg
309,Frango pele crua,Carne e Derivados Criação e Caça,11.4 g,16 g,10 g,8.7 g,0 g,120 mg,0 g,9.7 g,0 g,42.3 g,0 g,135 mg,64 µg,0 µg,1.9 µg,0.15 mg,0.04 mg,0.44 mg,3.6 mg,2.7 mg,0.08 mg,1 µg,0 mg,4 µg,0.41 g,50 mg,130 mg,8 mg,91 mg,9 mg,0.6 mg,0.7 mg
310,Perna de frango sem pele crua,Carne e Derivados Criação e Caça,0.6 g,0.9 g,0.5 g,0.5 g,0 g,220 mg,0 g,22 g,0 g,74.3 g,0 g,100 mg,20 µg,0 µg,0.2 µg,0.17 mg,0.14 mg,0.22 mg,10 mg,5.9 mg,0.28 mg,1 µg,0 mg,9 µg,1.21 g,90 mg,390 mg,18 mg,190 mg,26 mg,1.2 mg,1.1 mg
311,Perna de frango sem pele cozida,Carne e Derivados Criação e Caça,0.6 g,0.8 g,0.4 g,0.4 g,0 g,620 mg,0 g,31.5 g,0 g,64.6 g,0 g,135 mg,20 µg,0 µg,0.2 µg,0.1 mg,0.1 mg,0.29 mg,11 mg,5 mg,0.2 mg,0.85 µg,0 mg,7.7 µg,1.61 g,250 mg,310 mg,23 mg,190 mg,24 mg,1.6 mg,1.6 mg
312,Perna de frango sem pele estufada com azeite e margarina,Carne e Derivados Criação e Caça,1.1 g,1.9 g,0.8 g,0.783 g,1.6 g,1080 mg,0.7 g,19.1 g,0 g,72 g,0 g,85 mg,51 µg,173 µg,0.1 µg,0.73 mg,0.1 mg,0.19 mg,8.82 mg,3.3 mg,0.21 mg,0.42 µg,6.8 mg,11 µg,2.30 g,430 mg,280 mg,24 mg,120 mg,24 mg,1.1 mg,1 mg
313,Perna de frango sem pele estufada com margarina,Carne e Derivados Criação e Caça,1.4 g,1.2 g,1 g,0.955 g,1.6 g,1100 mg,0.7 g,19.1 g,0 g,72.2 g,0 g,85 mg,59 µg,178 µg,0.1 µg,0.55 mg,0.1 mg,0.19 mg,8.82 mg,3.3 mg,0.21 mg,0.42 µg,6.8 mg,11 µg,2.34 g,440 mg,280 mg,24 mg,120 mg,24 mg,1.1 mg,1 mg
314,Perna de frango sem pele estufada sem molho,Carne e Derivados Criação e Caça,1.3 g,1.8 g,1 g,1.0 g,0 g,650 mg,0 g,32.9 g,0 g,59.7 g,0 g,128 mg,20 µg,0 µg,0.2 µg,0.2 mg,0.11 mg,0.31 mg,11 mg,5.2 mg,0.2 mg,0.71 µg,0 mg,8 µg,1.97 g,260 mg,330 mg,23 mg,200 mg,28 mg,1.7 mg,1.7 mg
315,Frango (1/4 de frango) peito e asa com pele cru,Carne e Derivados Criação e Caça,3 g,4.2 g,2.6 g,2.3 g,0 g,150 mg,0 g,20.4 g,0 g,66 g,0 g,89 mg,20 µg,0 µg,0.6 µg,0.1 mg,0.12 mg,0.22 mg,12 mg,8.2 mg,0.37 mg,0.6 µg,0 mg,11 µg,0.80 g,61 mg,310 mg,7 mg,190 mg,24 mg,0.6 mg,0.8 mg
316,Frango (1/4 de frango) peito e asa com pele cozido,Carne e Derivados Criação e Caça,2.4 g,3.4 g,2.1 g,1.9 g,0 g,850 mg,0 g,27.2 g,0 g,61.2 g,0 g,132 mg,20 µg,0 µg,0.5 µg,0.06 mg,0.09 mg,0.31 mg,12 mg,7.3 mg,0.33 mg,0.44 µg,0 mg,8.2 µg,1.32 g,340 mg,190 mg,9 mg,190 mg,27 mg,0.7 mg,1.2 mg
317,Frango (1/4 de frango) peito e asa com pele estufado com azeite e margarina,Carne e Derivados Criação e Caça,3.3 g,4.9 g,2.7 g,2.41 g,1.7 g,1100 mg,0.7 g,18.5 g,0 g,63.5 g,0 g,79 mg,53 µg,180 µg,0.3 µg,0.7 mg,0.09 mg,0.2 mg,11 mg,4.6 mg,0.27 mg,0.27 µg,7.1 mg,12 µg,2.03 g,440 mg,260 mg,17 mg,130 mg,24 mg,0.8 mg,0.8 mg
318,Frango (1/4 de frango) peito e asa com pele estufado com margarina,Carne e Derivados Criação e Caça,3.6 g,4.1 g,2.9 g,2.59 g,1.7 g,1120 mg,0.7 g,18.5 g,0 g,63.7 g,0 g,79 mg,61 µg,185 µg,0.3 µg,0.52 mg,0.09 mg,0.2 mg,11 mg,4.6 mg,0.27 mg,0.27 µg,7.1 mg,12 µg,2.07 g,450 mg,260 mg,17 mg,130 mg,24 mg,0.8 mg,0.8 mg
319,Frango (1/4 de frango) peito e asa com pele estufado sem molho,Carne e Derivados Criação e Caça,2.8 g,3.9 g,2.4 g,2.2 g,0 g,650 mg,0 g,29.2 g,0 g,57.1 g,0 g,120 mg,20 µg,0 µg,0.6 µg,0.1 mg,0.1 mg,0.32 mg,13 mg,7.6 mg,0.34 mg,0.47 µg,0 mg,8.5 µg,1.63 g,260 mg,240 mg,9 mg,200 mg,29 mg,0.7 mg,1.1 mg
320,Frango (1/4 de frango) peito e asa com pele grelhado,Carne e Derivados Criação e Caça,3.2 g,4.4 g,2.7 g,2.4 g,0 g,680 mg,0 g,28.7 g,0 g,55.3 g,0 g,108 mg,20 µg,0 µg,0.8 µg,0.1 mg,0.1 mg,0.31 mg,15 mg,9.2 mg,0.31 mg,0.54 µg,0 mg,9.2 µg,1.99 g,270 mg,400 mg,10 mg,210 mg,27 mg,0.8 mg,1.1 mg
321,Frango (1/4 de frango) perna com pele crua,Carne e Derivados Criação e Caça,3.1 g,4.3 g,2.7 g,2.3 g,0 g,200 mg,0 g,19.1 g,0 g,67 g,0.6 g,108 mg,30 µg,0 µg,0.6 µg,0.2 mg,0.12 mg,0.27 mg,8.6 mg,5.2 mg,0.23 mg,1 µg,0 mg,7.8 µg,1.03 g,81 mg,330 mg,16 mg,170 mg,22 mg,1.1 mg,1 mg
322,Frango (1/4 de frango) perna com pele assada sem molho,Carne e Derivados Criação e Caça,3.2 g,4.5 g,2.9 g,2.4 g,0 g,750 mg,0 g,26.9 g,0 g,57.1 g,0 g,131 mg,30 µg,0 µg,0.6 µg,0.3 mg,0.1 mg,0.38 mg,11 mg,5.8 mg,0.16 mg,0.91 µg,0 mg,6.6 µg,2.28 g,300 mg,410 mg,22 mg,190 mg,25 mg,1.4 mg,1.4 mg
323,Frango (1/4 de frango) perna com pele cozida,Carne e Derivados Criação e Caça,2.5 g,3.5 g,2.2 g,1.9 g,0 g,650 mg,0 g,25.5 g,0 g,62.3 g,0 g,139 mg,30 µg,0 µg,0.7 µg,0.3 mg,0.1 mg,0.4 mg,9.4 mg,4.6 mg,0.21 mg,0.74 µg,0 mg,5.9 µg,1.53 g,260 mg,190 mg,20 mg,180 mg,23 mg,1.3 mg,1.5 mg
324,Frango (1/4 de frango) perna com pele estufada com azeite e margarina,Carne e Derivados Criação e Caça,3.4 g,5 g,2.8 g,2.41 g,1.7 g,1100 mg,0.7 g,17.3 g,0 g,64.4 g,0.5 g,95 mg,62 µg,180 µg,0.3 µg,0.78 mg,0.09 mg,0.24 mg,7.96 mg,3 mg,0.2 mg,0.44 µg,7.1 mg,10 µg,2.24 g,440 mg,270 mg,24 mg,120 mg,23 mg,1.1 mg,0.9 mg
325,Frango (1/4 de frango) perna com pele estufada com margarina,Carne e Derivados Criação e Caça,3.7 g,4.2 g,3 g,2.59 g,1.7 g,1150 mg,0.7 g,17.3 g,0 g,64.6 g,0.5 g,96 mg,70 µg,185 µg,0.3 µg,0.6 mg,0.09 mg,0.24 mg,7.96 mg,3 mg,0.2 mg,0.44 µg,7.1 mg,10 µg,2.28 g,460 mg,270 mg,24 mg,120 mg,23 mg,1.1 mg,0.9 mg
326,Frango (1/4 de frango) perna com pele estufada sem molho,Carne e Derivados Criação e Caça,2.8 g,4 g,2.5 g,2.1 g,0 g,650 mg,0 g,26.9 g,0 g,59.4 g,0 g,140 mg,30 µg,0 µg,0.6 µg,0.2 mg,0.09 mg,0.39 mg,9.8 mg,4.8 mg,0.21 mg,0.76 µg,0 mg,6 µg,1.83 g,260 mg,250 mg,20 mg,180 mg,26 mg,1.4 mg,1.4 mg
327,Frango (1/4 de frango) perna com pele grelhada,Carne e Derivados Criação e Caça,3.2 g,4.5 g,2.9 g,2.4 g,0 g,750 mg,0 g,26.9 g,0 g,57.1 g,0 g,131 mg,30 µg,0 µg,0.6 µg,0.3 mg,0.1 mg,0.38 mg,11 mg,5.8 mg,0.16 mg,0.91 µg,0 mg,6.6 µg,2.28 g,300 mg,410 mg,22 mg,190 mg,25 mg,1.4 mg,1.4 mg
328,Pato com pele cru,Carne e Derivados Criação e Caça,9.7 g,16.9 g,4.3 g,3.7 g,0 g,170 mg,0 g,12.3 g,0 g,48.4 g,0 g,74 mg,51 µg,0 µg,1.4 µg,0.02 mg,0.17 mg,0.36 mg,6 mg,3.7 mg,0.26 mg,2 µg,0 mg,10 µg,0.95 g,68 mg,200 mg,10 mg,130 mg,15 mg,1.9 mg,1.3 mg
329,Pato com pele assado sem molho,Carne e Derivados Criação e Caça,7.7 g,13.4 g,3.4 g,2.9 g,0 g,780 mg,0 g,18.5 g,0 g,49 g,0 g,98 mg,30 µg,0 µg,0.9 µg,0 mg,0.17 mg,0.5 mg,8.6 mg,4.6 mg,0.26 mg,2.2 µg,0 mg,7.8 µg,2.20 g,310 mg,280 mg,16 mg,170 mg,23 mg,2.9 mg,2 mg
330,Pato sem pele cru,Carne e Derivados Criação e Caça,1.6 g,2.7 g,0.7 g,0.6 g,0 g,230 mg,0 g,19.3 g,0 g,73.4 g,0 g,93 mg,24 µg,0 µg,0.4 µg,0.02 mg,0.36 mg,0.45 mg,9.5 mg,5.3 mg,0.34 mg,3 µg,0 mg,25 µg,1.06 g,92 mg,280 mg,12 mg,200 mg,19 mg,2.4 mg,1.9 mg
331,Pato sem pele assado com margarina,Carne e Derivados Criação e Caça,4.5 g,5.7 g,2.2 g,1.88 g,0 g,1680 mg,0 g,36.2 g,0 g,45.8 g,0 g,174 mg,68 µg,15 µg,0.5 µg,0.04 mg,0.42 mg,0.74 mg,17.8 mg,7.9 mg,0.39 mg,3.8 µg,0 mg,27 µg,3.28 g,670 mg,370 mg,22 mg,310 mg,33 mg,4.3 mg,3.6 mg
