ID,Nome,Grupo,Ácidos gordos saturados,Ácidos gordos monoinsaturados,Ácidos gordos polinsaturados,Ácido linoleico,Hidratos de carbono,Sal,Fibra alimentar,Proteína,Álcool,Água,Ácidos orgânicos,Colesterol,Vitamina A total,Caroteno,Vitamina D,a-tocoferol,Tiamina,Riboflavina,Equivalentes de niacina,Niacina,Vitamina B6,Vitamina B12,Vitamina C,Folatos,Cinza,Sódio,Potássio,Cálcio,Fósforo,Magnésio,Ferro,Zinco
837,Pudim instantâneo em pó,Sobremesas,8.6 g,0.2 g,0.2 g,0.1 g,79.4 g,1800 mg,1 g,2 g,0 g,3.5 g,0 g,1 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0.4 mg,0 mg,0 mg,0 µg,0 mg,0 µg,2.20 g,720 mg,57 mg,45 mg,440 mg,10 mg,0.6 mg,0.4 mg
838,Pudim instantâneo preparado com leite meio gordo,Sobremesas,2.3 g,0.4 g,0.0 g,0.0180 g,18.3 g,400 mg,0.2 g,3.1 g,0 g,73.7 g,0 g,7 mg,18 µg,10 µg,0 µg,0.02 mg,0.03 mg,0.15 mg,0.81 mg,0.16 mg,0.04 mg,0.1 µg,0 mg,0.8 µg,1.02 g,160 mg,140 mg,98 mg,150 mg,9.2 mg,0.2 mg,0.5 mg
839,Pudim instantâneo preparado com leite magro,Sobremesas,1.6 g,0.1 g,0.0 g,0.0180 g,18.3 g,400 mg,0.2 g,3.2 g,0 g,74.8 g,0 g,1 mg,0 µg,0 µg,0 µg,0 mg,0.04 mg,0.15 mg,0.73 mg,0.08 mg,0.04 mg,0.09 µg,0 mg,0.8 µg,1.03 g,160 mg,140 mg,98 mg,150 mg,10 mg,0.2 mg,0.4 mg
840,Rabanada,Sobremesas,3.4 g,9 g,2.9 g,2.8 g,31.3 g,210 mg,0.5 g,4.7 g,0 g,46 g,0 g,38 mg,40 µg,5 µg,0.1 µg,2 mg,0.02 mg,0.19 mg,1.8 mg,0.6 mg,0.05 mg,0.3 µg,0 mg,3.2 µg,0.90 g,85 mg,160 mg,100 mg,100 mg,13 mg,0.5 mg,0.6 mg
841,Sonhos,Sobremesas,3.7 g,6.2 g,14.3 g,14.1 g,29.2 g,180 mg,0.7 g,8.7 g,0 g,34.6 g,0 g,209 mg,135 µg,0 µg,0.9 µg,1.1 mg,0.05 mg,0.23 mg,2.7 mg,0.3 mg,0.1 mg,1 µg,0 mg,16 µg,0.60 g,72 mg,61 mg,29 mg,130 mg,15 mg,1.4 mg,0.9 mg
842,Aguardente,Bebidas,0 g,0 g,0 g,0 g,0 g,0 mg,0 g,0 g,44 g,55.9 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 µg,0 mg,0 µg,0 g,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg
843,Brandy,Bebidas,0 g,0 g,0 g,0 g,0 g,0 mg,0 g,0 g,35.2 g,63.9 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 µg,0 mg,0 µg,0 g,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg
844,Gin - Rum- Whisky,Bebidas,0 g,0 g,0 g,0 g,0 g,0 mg,0 g,0 g,31.7 g,68.3 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 µg,0 mg,0 µg,0 g,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg
845,Licor beneditino,Bebidas,0 g,0 g,0 g,0 g,34.8 g,12 mg,0 g,0 g,30.4 g,34.6 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 µg,0 mg,0 µg,0.07 g,5 mg,0 mg,11 mg,2 mg,0 mg,0.9 mg,0 mg
846,Licor de anis,Bebidas,0 g,0 g,0 g,0 g,36 g,0 mg,0 g,0 g,34.4 g,29.5 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 µg,0 mg,0 µg,0 g,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg
847,Licor de ginja,Bebidas,0 g,0 g,0 g,0 g,19 g,12 mg,0 g,0.1 g,23.2 g,57.5 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 µg,0 mg,0 µg,0.08 g,5 mg,18 mg,2 mg,5 mg,2 mg,0.3 mg,0 mg
848,Licor simples,Bebidas,0 g,0 g,0 g,0 g,24.4 g,0 mg,0 g,0 g,28 g,47.5 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 µg,0 mg,0 µg,0 g,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg
849,Cerveja branca,Bebidas,0 g,0 g,0 g,0 g,0.5 g,28 mg,0 g,0.4 g,3.7 g,91.6 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.02 mg,0.01 mg,0.5 mg,0.5 mg,0.01 mg,0.14 µg,0 mg,4.1 µg,0.16 g,11 mg,52 mg,9 mg,17 mg,11 mg,0.3 mg,0 mg
850,Cerveja preta,Bebidas,0 g,0 g,0 g,0 g,0.6 g,35 mg,0 g,0.5 g,2.6 g,93.3 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.06 mg,0.06 mg,0.5 mg,0.5 mg,0.02 mg,0.15 µg,0 mg,4.5 µg,0.20 g,14 mg,65 mg,11 mg,19 mg,14 mg,0.4 mg,0 mg
851,Cerveja sem álcool,Bebidas,0 g,0 g,0 g,0 g,1.5 g,5 mg,0 g,0.3 g,0 g,96.7 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0.02 mg,1 mg,0.6 mg,0.03 mg,0 µg,0 mg,4 µg,0.20 g,2 mg,44 mg,3 mg,19 mg,6 mg,0 mg,0 mg
852,Sidra (vinho de maçã),Bebidas,0 g,0 g,0 g,0 g,2.3 g,18 mg,0 g,0 g,5.5 g,92 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.01 mg,0.01 mg,0 mg,0 mg,0.01 mg,0 µg,0 mg,0 µg,0.20 g,7 mg,72 mg,14 mg,4 mg,3 mg,0.9 mg,0 mg
853,Vinho espumante extra bruto,Bebidas,0 g,0 g,0 g,0 g,0.1 g,10 mg,0 g,0.1 g,9.8 g,88.9 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.01 mg,0.01 mg,0.07 mg,0.07 mg,0.02 mg,0 µg,0 mg,0 µg,0.15 g,4 mg,51 mg,10 mg,10 mg,7 mg,0.7 mg,0 mg
854,Vinho espumante doce,Bebidas,0 g,0 g,0 g,0 g,12 g,10 mg,0 g,0.1 g,8.8 g,78 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0.1 mg,0.1 mg,0.02 mg,0 µg,0 mg,0 µg,0.20 g,4 mg,51 mg,15 mg,10 mg,8 mg,0.8 mg,0 mg
855,Vinho espumante meio Seco,Bebidas,0 g,0 g,0 g,0 g,4.2 g,15 mg,0 g,0.1 g,8.9 g,82.9 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.01 mg,0 mg,0.1 mg,0.1 mg,0.02 mg,0 µg,0 mg,0 µg,0.11 g,6 mg,51 mg,13 mg,10 mg,7 mg,0.8 mg,0 mg
856,Vinho espumante seco,Bebidas,0 g,0 g,0 g,0 g,2.6 g,12 mg,0 g,0.1 g,9 g,84.9 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.01 mg,0 mg,0.1 mg,0.1 mg,0.02 mg,0 µg,0 mg,0 µg,0.15 g,5 mg,51 mg,10 mg,10 mg,10 mg,0.7 mg,0 mg
857,Vinho generoso da Madeira,Bebidas,0 g,0 g,0 g,0 g,9 g,25 mg,0 g,0.2 g,17 g,72.1 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.02 mg,0.03 mg,0.1 mg,0.1 mg,0 mg,0 µg,0 mg,0 µg,0.42 g,10 mg,140 mg,10 mg,35 mg,11 mg,1.7 mg,0.1 mg
858,Vinho generoso do Porto doce,Bebidas,0 g,0 g,0 g,0 g,14 g,28 mg,0 g,0.1 g,15.5 g,68.6 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.01 mg,0.02 mg,0.1 mg,0.1 mg,0.01 mg,0 µg,0 mg,0 µg,0.25 g,11 mg,120 mg,5 mg,15 mg,11 mg,0.7 mg,0.2 mg
859,Vinho generoso do Porto meio seco,Bebidas,0 g,0 g,0 g,0 g,6.5 g,28 mg,0 g,0.1 g,16 g,75.6 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.01 mg,0.02 mg,0.1 mg,0.1 mg,0.01 mg,0 µg,0 mg,0 µg,0.25 g,11 mg,120 mg,5 mg,15 mg,11 mg,0.7 mg,0.2 mg
860,Vinho generoso do Porto seco,Bebidas,0 g,0 g,0 g,0 g,4 g,28 mg,0 g,0.1 g,17 g,77.1 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.01 mg,0.02 mg,0.1 mg,0.1 mg,0.01 mg,0 µg,0 mg,0 µg,0.25 g,11 mg,120 mg,5 mg,15 mg,11 mg,0.7 mg,0.2 mg
861,Vinho maduro branco,Bebidas,0 g,0 g,0 g,0 g,1.2 g,22 mg,0 g,0.1 g,9.6 g,88.7 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.02 mg,0.01 mg,0.06 mg,0.06 mg,0.02 mg,0 µg,0 mg,0 µg,0.24 g,9 mg,92 mg,13 mg,9 mg,8 mg,0.8 mg,0.3 mg
862,Vinho maduro palhete,Bebidas,0 g,0 g,0 g,0 g,0.1 g,22 mg,0 g,0.1 g,9.2 g,89.9 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.03 mg,0.03 mg,0.09 mg,0.09 mg,0.02 mg,0 µg,0 mg,0 µg,0.28 g,9 mg,110 mg,15 mg,9 mg,9 mg,1 mg,0 mg
863,Vinho maduro tinto,Bebidas,0 g,0 g,0 g,0 g,0.2 g,22 mg,0 g,0.1 g,9.2 g,89.7 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0.02 mg,0.1 mg,0.1 mg,0.03 mg,0 µg,0 mg,0 µg,0.28 g,9 mg,130 mg,15 mg,9 mg,9 mg,1 mg,0.1 mg
864,Vinho rosé,Bebidas,0 g,0 g,0 g,0 g,2.4 g,18 mg,0 g,0.2 g,8.8 g,87.8 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.01 mg,0.01 mg,0.07 mg,0.07 mg,0.02 mg,0 µg,0 mg,0 µg,0.28 g,7 mg,91 mg,14 mg,15 mg,10 mg,1 mg,0.1 mg
865,Vinho verde branco,Bebidas,0 g,0 g,0 g,0 g,0.1 g,28 mg,0 g,0 g,8.4 g,89.9 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.01 mg,0.01 mg,0.1 mg,0.1 mg,0.01 mg,0 µg,0 mg,0 µg,0.15 g,11 mg,84 mg,10 mg,6 mg,6 mg,0.6 mg,0.2 mg
866,Vinho verde tinto,Bebidas,0 g,0 g,0 g,0 g,0.3 g,38 mg,0 g,0 g,8 g,89.9 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.02 mg,0.03 mg,0.1 mg,0.1 mg,0.03 mg,0 µg,0 mg,0 µg,0.22 g,15 mg,110 mg,13 mg,8 mg,7 mg,1 mg,0.1 mg
867,Água rede pública de abastecimento (Lisboa),Bebidas,0 g,0 g,0 g,0 g,0 g,5 mg,0 g,0 g,0 g,99.9 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 µg,0 mg,0 µg,0.09 g,2 mg,0.2 mg,4 mg,0 mg,0.5 mg,0 mg,0.1 mg
868,Água mineral natural Luso,Bebidas,0 g,0 g,0 g,0 g,0 g,1.8 mg,0 g,0 g,0 g,99.9 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 µg,0 mg,0 µg,0 g,0.7 mg,0.1 mg,0.2 mg,0 mg,0.1 mg,0 mg,0.1 mg
869,Água mineral natural gasocarbónica Pedras Salgadas,Bebidas,0 g,0 g,0 g,0 g,0 g,160 mg,0 g,0 g,0 g,99.9 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 µg,0 mg,0 µg,0.11 g,64 mg,2 mg,19 mg,0 mg,2 mg,0.5 mg,0.1 mg
870,Água mineral natural gaseificada Pizões-Moura,Bebidas,0 g,0 g,0 g,0 g,0 g,10 mg,0 g,0 g,0 g,99.9 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 µg,0 mg,0 µg,0.02 g,4 mg,0.1 mg,9.1 mg,0 mg,3 mg,0 mg,0 mg
871,Água mineral natural gaseificada Vimeiro,Bebidas,0 g,0 g,0 g,0 g,0 g,42 mg,0 g,0 g,0 g,99.9 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 µg,0 mg,0 µg,0.04 g,17 mg,0.6 mg,12 mg,0 mg,4 mg,0 mg,0 mg
872,Bebida refrigerante cola,Bebidas,0 g,0 g,0 g,0 g,9 g,12 mg,0 g,0 g,0 g,90.8 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 µg,0 mg,0 µg,0.10 g,5 mg,1 mg,6 mg,10 mg,1 mg,0 mg,0 mg
873,Bebida refrigerante cola light,Bebidas,0 g,0 g,0 g,0 g,0 g,12 mg,0 g,0 g,0 g,99.8 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 µg,0 mg,0 µg,0.02 g,5 mg,1 mg,4 mg,8 mg,1 mg,0 mg,0.1 mg
874,Bebida refrigerante gasosa,Bebidas,0 g,0 g,0 g,0 g,7 g,22 mg,0 g,0 g,0 g,92.9 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 µg,0 mg,0 µg,0.08 g,9 mg,1 mg,5 mg,0 mg,0 mg,0 mg,0 mg
875,Bebida refrigerante de laranja,Bebidas,0 g,0 g,0 g,0 g,10.5 g,25 mg,0 g,0 g,0 g,89.4 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 µg,0 mg,0 µg,0.02 g,10 mg,2 mg,4 mg,1 mg,1 mg,0.1 mg,0.1 mg
876,Café infusão - bica (3 marcas),Bebidas,0 g,0 g,0.1 g,0 g,0.3 g,7.5 mg,0 g,0.4 g,0 g,96.2 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0.7 mg,0.7 mg,0 mg,0 µg,0 mg,0 µg,0.52 g,3 mg,270 mg,3 mg,11 mg,10 mg,0 mg,0 mg
877,Café infusão - café de cafeteira (3 marcas),Bebidas,0 g,0 g,0 g,0 g,0.3 g,2.5 mg,0 g,0.2 g,0 g,97.8 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0.7 mg,0.7 mg,0 mg,0 µg,0 mg,0 µg,0.30 g,1 mg,150 mg,2 mg,10 mg,5 mg,0 mg,0 mg
878,Café infusão - carioca (2 marcas),Bebidas,0 g,0 g,0 g,0 g,0.3 g,5 mg,0 g,0.2 g,0 g,98.5 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0.7 mg,0.7 mg,0 mg,0 µg,0 mg,0 µg,0.20 g,2 mg,110 mg,1 mg,5 mg,5 mg,0 mg,0 mg
879,Café infusão - valor médio (bica 60% e café de cafeteira 40%),Bebidas,0 g,0 g,0.1 g,0 g,0.3 g,5 mg,0 g,0.3 g,0 g,97 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0.7 mg,0.7 mg,0 mg,0 µg,0 mg,0 µg,0.43 g,2 mg,220 mg,3 mg,11 mg,8 mg,0 mg,0 mg
880,Café solúvel (pó) com cafeína (2 marcas),Bebidas,0.2 g,0 g,0.2 g,0.2 g,41.1 g,100 mg,2 g,14.9 g,0 g,2.9 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.04 mg,0.21 mg,28 mg,25 mg,0 mg,0 µg,0 mg,0 µg,9.10 g,42 mg,3250 mg,89 mg,320 mg,220 mg,0.8 mg,0.2 mg
881,Café solúvel (pó) com cafeína (produto branco),Bebidas,0.2 g,0 g,0.2 g,0.2 g,41.1 g,850 mg,2 g,16.1 g,0 g,2 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.04 mg,0.21 mg,28 mg,25 mg,0 mg,0 µg,0 mg,0 µg,8.50 g,340 mg,3460 mg,160 mg,290 mg,180 mg,2.7 mg,0.2 mg
882,Café solúvel (pó) descafeinado (2 marcas),Bebidas,0.1 g,0 g,0.1 g,0.1 g,42.6 g,140 mg,2 g,14.7 g,0 g,2.8 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0.21 mg,28 mg,25 mg,0 mg,0 µg,0 mg,0 µg,8.93 g,55 mg,3420 mg,97 mg,370 mg,270 mg,1.3 mg,0.2 mg
883,Café solúvel (pó) descafeinado (produto branco),Bebidas,0.1 g,0 g,0.1 g,0.1 g,42.6 g,800 mg,2 g,15.6 g,0 g,1.6 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0.21 mg,28 mg,25 mg,0 mg,0 µg,0 mg,0 µg,8.20 g,320 mg,3930 mg,110 mg,350 mg,240 mg,4.8 mg,0.3 mg
884,Sucedâneo de café (pó) (2 marcas),Bebidas,0.6 g,0.4 g,1.7 g,1.6 g,81 g,170 mg,0 g,5 g,0 g,2.2 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0.03 mg,17 mg,16 mg,0 mg,0 µg,0 mg,0 µg,2.70 g,67 mg,1070 mg,57 mg,300 mg,83 mg,4.2 mg,0.8 mg
885,Sucedâneo de café (pó) com 20% de café,Bebidas,0.5 g,0.3 g,1.4 g,1.3 g,77 g,120 mg,0 g,6.5 g,0 g,3.6 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0.03 mg,17 mg,16 mg,0 mg,0 µg,0 mg,0 µg,2.69 g,48 mg,1580 mg,83 mg,290 mg,130 mg,5 mg,0.8 mg
886,Chá infusão preto,Bebidas,0 g,0 g,0 g,0 g,0 g,5 mg,0 g,0.1 g,0 g,99.8 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0.02 mg,0.1 mg,0.1 mg,0.00 mg,0 µg,0 mg,3 µg,0.04 g,2 mg,11 mg,1 mg,1 mg,1 mg,0 mg,0.1 mg
887,Chá infusão verde,Bebidas,0 g,0 g,0 g,0 g,0 g,5 mg,0 g,0.1 g,0 g,99.7 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0.02 mg,0.1 mg,0.1 mg,0.00 mg,0 µg,3 mg,0.0 µg,0.03 g,2 mg,10 mg,2 mg,1 mg,1 mg,0 mg,0.1 mg
888,Chá infusão de ervas,Bebidas,0 g,0 g,0 g,0 g,0.2 g,5 mg,0 g,0 g,0 g,99.7 g,0 g,0 mg,0 µg,0 µg,0 µg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 µg,0 mg,1 µg,0.03 g,2 mg,10 mg,2 mg,1 mg,1 mg,0 mg,0.1 mg
889,Néctar de alperce,Bebidas,0 g,0 g,0.1 g,0.1 g,12.9 g,7.5 mg,0.4 g,0.2 g,0 g,85.8 g,0.6 g,0 mg,100 µg,600 µg,0 µg,0.2 mg,0.01 mg,0.02 mg,0.2 mg,0.2 mg,0.03 mg,0 µg,40 mg,2 µg,0.14 g,3 mg,58 mg,6 mg,4 mg,3 mg,0.4 mg,0.1 mg
890,Néctar de ananás,Bebidas,0 g,0 g,0.1 g,0.1 g,10.5 g,10 mg,0.2 g,0.2 g,0 g,88.2 g,0.6 g,0 mg,2 µg,10 µg,0 µg,0.03 mg,0.05 mg,0.02 mg,0.2 mg,0.2 mg,0.1 mg,0 µg,43 mg,10 µg,0.12 g,4 mg,58 mg,5 mg,3 mg,4 mg,0.6 mg,0.1 mg
891,Néctar de laranja,Bebidas,0 g,0 g,0.1 g,0.1 g,9.6 g,18 mg,0.4 g,0.2 g,0 g,88.8 g,0.7 g,0 mg,7 µg,42 µg,0 µg,0.1 mg,0.04 mg,0.01 mg,0.14 mg,0.14 mg,0.02 mg,0 µg,40 mg,12 µg,0.19 g,7 mg,62 mg,6 mg,4 mg,4 mg,0.2 mg,0.1 mg
892,Néctar de maçã,Bebidas,0 g,0 g,0.1 g,0.1 g,11.3 g,7.5 mg,0.5 g,0.1 g,0 g,87.5 g,0.3 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.02 mg,0.02 mg,0.15 mg,0.15 mg,0.05 mg,0 µg,39 mg,1 µg,0.11 g,3 mg,38 mg,3 mg,4 mg,3 mg,0.2 mg,0 mg
893,Néctar de pêra,Bebidas,0 g,0 g,0.1 g,0.1 g,11 g,12 mg,0.6 g,0.2 g,0 g,87.5 g,0.4 g,0 mg,1 µg,5 µg,0 µg,0 mg,0.01 mg,0.02 mg,0.1 mg,0.1 mg,0.01 mg,0 µg,37 mg,1 µg,0.12 g,5 mg,63 mg,4 mg,4 mg,2 mg,0.1 mg,0.1 mg
894,Néctar de pêssego,Bebidas,0 g,0 g,0.1 g,0.1 g,11.7 g,7.5 mg,0.5 g,0.2 g,0 g,88.9 g,0.4 g,0 mg,26 µg,156 µg,0 µg,0.4 mg,0.01 mg,0.01 mg,0.3 mg,0.3 mg,0.00 mg,0 µg,32 mg,1 µg,0.19 g,3 mg,88 mg,3 mg,6 mg,4 mg,0.4 mg,0.1 mg
895,Néctar de tutti - frutti,Bebidas,0 g,0 g,0.1 g,0.1 g,10.8 g,10 mg,0.2 g,0.1 g,0 g,88.1 g,0.5 g,0 mg,23 µg,136 µg,0 µg,0.1 mg,0.02 mg,0.02 mg,0.2 mg,0.2 mg,0.04 mg,0 µg,46 mg,4 µg,0.20 g,4 mg,82 mg,5 mg,6 mg,4 mg,0.4 mg,0.1 mg
896,Néctar de maçã light,Bebidas,0 g,0.1 g,0.1 g,0.1 g,4.6 g,20 mg,0.1 g,0.1 g,0 g,94.4 g,0.5 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.02 mg,0.02 mg,0.15 mg,0.15 mg,0.05 mg,0 µg,30 mg,1 µg,0.10 g,8 mg,38 mg,2 mg,3 mg,2 mg,0.1 mg,0.1 mg
897,Néctar de pêssego light,Bebidas,0 g,0 g,0.1 g,0.1 g,3.5 g,7.5 mg,0 g,0.1 g,0 g,95.2 g,0.8 g,0 mg,26 µg,156 µg,0 µg,0.4 mg,0.00 mg,0.00 mg,0.15 mg,0.15 mg,0 mg,0 µg,41 mg,0.5 µg,0.22 g,3 mg,71 mg,2 mg,5 mg,4 mg,0.2 mg,0.1 mg
898,Sumo de ananás 100%,Bebidas,0 g,0 g,0.1 g,0.1 g,9.5 g,7.5 mg,0.3 g,0.2 g,0 g,89.1 g,0.6 g,0 mg,0 µg,0 µg,0 µg,0.03 mg,0.04 mg,0.04 mg,0.2 mg,0.1 mg,0.07 mg,0 µg,20 mg,8 µg,0.22 g,3 mg,100 mg,11 mg,5 mg,9 mg,0.5 mg,0.1 mg
899,Sumo de laranja 100%,Bebidas,0 g,0 g,0.1 g,0.1 g,9.5 g,10 mg,0 g,0.3 g,0 g,88.8 g,0.7 g,0 mg,8 µg,50 µg,0 µg,0.2 mg,0.07 mg,0.02 mg,0.3 mg,0.2 mg,0.07 mg,0 µg,41 mg,28 µg,0.36 g,4 mg,130 mg,6 mg,10 mg,5 mg,0.4 mg,0.1 mg
900,Sumo de maçã 100%,Bebidas,0 g,0 g,0.1 g,0.1 g,9.9 g,22 mg,0.2 g,0.1 g,0 g,89.1 g,0.4 g,0 mg,0 µg,0 µg,0 µg,0 mg,0.01 mg,0.01 mg,0.1 mg,0.1 mg,0.02 mg,0 µg,40 mg,4 µg,0.20 g,8.6 mg,96 mg,3 mg,4 mg,3 mg,0.2 mg,0 mg
901,Sumo de pêssego 100%,Bebidas,0 g,0 g,0.1 g,0.1 g,11.5 g,7.5 mg,0.3 g,0.2 g,0 g,87.2 g,0.5 g,0 mg,41 µg,243 µg,0 µg,0 mg,0.01 mg,0.02 mg,0.2 mg,0.2 mg,0.03 mg,0 µg,39 mg,2 µg,0.18 g,3 mg,92 mg,3 mg,5 mg,4 mg,0.5 mg,0.1 mg
902,Sumo de tomate 100%,Bebidas,0 g,0 g,0 g,0 g,3.5 g,550 mg,0.6 g,1.1 g,0 g,93.3 g,0.4 g,0 mg,62 µg,372 µg,0 µg,1 mg,0.05 mg,0.03 mg,0.8 mg,0.7 mg,0.1 mg,0 µg,14 mg,10 µg,1.04 g,220 mg,230 mg,7 mg,19 mg,9 mg,0.6 mg,0.2 mg
903,Sumo de ananás concentrado,Bebidas,0 g,0 g,0 g,0 g,64.7 g,7.5 mg,0 g,0 g,0 g,29.2 g,2 g,0 mg,2 µg,11 µg,0 µg,0.09 mg,0.15 mg,0.03 mg,0.4 mg,0.4 mg,0.17 mg,0 µg,240 mg,26 µg,1.12 g,3 mg,490 mg,42 mg,30 mg,46 mg,1 mg,0.4 mg
904,Sumo de laranja concentrado,Bebidas,0.1 g,0.1 g,0.2 g,0.1 g,64.9 g,50 mg,0 g,0.1 g,0 g,31.7 g,2 g,0 mg,111 µg,666 µg,0 µg,0.7 mg,0.2 mg,0.03 mg,0.8 mg,0.8 mg,0.17 mg,0 µg,240 mg,59 µg,1.40 g,20 mg,640 mg,17 mg,38 mg,19 mg,0.6 mg,0.2 mg
905,Sumo de limão fresco (espremido),Bebidas,0 g,0 g,0 g,0 g,1.5 g,5 mg,0 g,0.3 g,0 g,91.7 g,5.8 g,0 mg,2 µg,12 µg,0 µg,0 mg,0.03 mg,0.01 mg,0.2 mg,0.2 mg,0.05 mg,0 µg,56 mg,13 µg,0.36 g,2 mg,130 mg,7 mg,10 mg,7 mg,0.2 mg,0 mg
906,Sopa de abóbora,Sopas Molhos e Diversos,0.2 g,1.1 g,0.1 g,0.0914 g,4 g,580 mg,0.5 g,0.6 g,0 g,92.6 g,0 g,0 mg,34 µg,206 µg,0 µg,0.43 mg,0.03 mg,0 mg,0.52 mg,0.29 mg,0.07 mg,0 µg,3.3 mg,5.2 µg,0.853 g,230 mg,91 mg,9.7 mg,9 mg,5 mg,0.1 mg,0.1 mg
907,Sopa de agrião,Sopas Molhos e Diversos,0.2 g,1.1 g,0.2 g,0.105 g,4.2 g,600 mg,0.9 g,1 g,0 g,91.4 g,0 g,0 mg,84 µg,503 µg,0 µg,0.45 mg,0.04 mg,0.01 mg,0.62 mg,0.3 mg,0.09 mg,0 µg,8 mg,20 µg,0.966 g,240 mg,100 mg,34 mg,17 mg,6.1 mg,0.3 mg,0.1 mg
908,Sopa à lavrador,Sopas Molhos e Diversos,0.2 g,1.1 g,0.1 g,0.105 g,7.6 g,600 mg,1.1 g,1.2 g,0 g,87.6 g,0 g,0 mg,74 µg,445 µg,0 µg,0.28 mg,0.07 mg,0.01 mg,0.9 mg,0.47 mg,0.13 mg,0 µg,7.6 mg,17 µg,1.04 g,240 mg,150 mg,14 mg,22 mg,7.6 mg,0.2 mg,0.2 mg
